"ontology title","ontology iri","summary","authors","contributors","license information","project page","source page","latest json-ld file","latest n3 file","latest ntriples file","latest rdf/xml file","latest turtle file","modified","version"
"Additive Manufacturing and Maintenance Operations Ontology","https://w3id.org/ammo/ont/","Ontology in support of additive manufacturing for maintenance operations developed as part of the America Makes Additive With Knowledge project.","Charles F. Vardeman II",,"CC-BY 4.0","https://github.com/LA3D/ammo",,,,,"https://raw.githubusercontent.com/LA3D/ammo/main/development/ontology/ontology.rdf","https://raw.githubusercontent.com/LA3D/ammo/main/development/ontology/ontology.ttl","2022-07-31","0.6.0"
"Additive Manufacturing Ontology","http://www.semanticweb.org/ina3/ontologies/2016/2/untitled-ontology-122","Information systems architecture, including metrics, information models and validation methods to shorten the design-to-product cycle time in additive manufacturing (AM).","Paul Witherell,Yan Lu,Jason Fox,Robert R. Lipman",,,"https://www.nist.gov/programs-projects/systems-integration-additive-manufacturing",,,,,"https://raw.githubusercontent.com/iassouroko/AMontology/master/AMOntology-vFinal1.owl",,"2016-08-19","Final1"
"Annotations","http://emmo.info/emmo/top/annotations#","Defines annotations used in EMMO Ontology.","Adham Hashibon,Emanuele Ghedini,Georg Schmitz,Gerhard Goldbeck,Jesper Friis",,"CC-BY 4.0","https://github.com/emmo-repo/EMMO",,,,,,"https://raw.githubusercontent.com/emmo-repo/EMMO/master/top/annotations.ttl","2020-12-10","1.0.0-beta"
"Atomistic","http://emmo.info/domain-atomistic","An EMMO-based domain ontology for atomistic and electronic modelling.","Francesca L. Bleken,Jesper Friis",,"CC-BY 4.0","https://github.com/emmo-repo/domain-atomistic",,,,,,"https://raw.githubusercontent.com/emmo-repo/domain-atomistic/master/atomistic.ttl","2021-05-07","0.0.1"
"AURORAL Adapters Ontology","https://auroral.iot.linkeddata.es/def/adapters","This ontology aims at modelling the adapters for the AURORAL project.","Ahlem Rhayem,Andrea Cimmino,Juan Cano de Benito,Maria Poveda Villalon,Raúl García Castro",,"CC-BY 4.0","https://github.com/oeg-upm/auroral-adapters-ontology",,,,,"https://auroral.iot.linkeddata.es/def/adapters/ontology.owl","https://auroral.iot.linkeddata.es/def/adapters/ontology.ttl","2023-12-21","0.0.1"
"AURORAL Cell-Tower Ontology","https://auroral.iot.linkeddata.es/def/cell#","This ontology aims at modelling the cell-tower information for the AURORAL project.","Ahlem Rhayem,Andrea Cimmino,Juan Cano Benito,María Poveda Villalón,Raúl García Castro",,"CC-BY 4.0","https://github.com/oeg-upm/auroral-cellTower-ontology",,,,,,"https://raw.githubusercontent.com/oeg-upm/auroral-cellTower-ontology/main/Ontology/auroral-cellTowerOntology.ttl","2023-12-22","1"
"AURORAL Energy Ontology","https://auroral.iot.linkeddata.es/def/energy#","This ontology aims at modeling the building energy consumption for the AURORAL project.","Ahlem Rhayem,Andrea Cimmino,Juan Cano,María Poveda Villalón,Raúl García Castro",,"CC-BY 4.0","https://github.com/oeg-upm/auroral-energy-ontology",,,,,"https://auroral.iot.linkeddata.es/def/energy/ontology.owl","https://auroral.iot.linkeddata.es/def/energy/ontology.ttl","2023-12-22","1.0"
"AURORAL Logistic Ontology","https://auroral.iot.linkeddata.es/def/shipment#","This ontology aims at modelling the logistic domain for the AURORAL project.","Ahlem Rhayem,Andrea Cimmino,Juan Cano,María Poveda Villalón,Raúl García Castro",,,"https://github.com/oeg-upm/auroral-shipmentBiomass-ontology",,,,,"https://auroral.iot.linkeddata.es/def/shipment/ontology.owl","https://auroral.iot.linkeddata.es/def/shipment/ontology.ttl","2023-12-22","0.0.1"
"AURORAL Vehicle Charger Ontology","https://auroral.iot.linkeddata.es/def/electrical-vehicle#","This ontology aims to model the electrical vehicle charger domain for the AURORAL project.","Ahlem Rhayem,Andrea Cimmino,Juan Cano,Maria Poveda Villalon,Raul Garcia Castro",,"CC-BY 4.0","https://github.com/oeg-upm/auroral-VehicleCharger-ontology",,,,,,"https://raw.githubusercontent.com/oeg-upm/auroral-VehicleCharger-ontology/main/ontology/EV-charger.ttl","2023-12-22","1.0.0"
"Automotive Industry Ontology","http://iurianu.rocks/wp-content/uploads/cdn/auto.owl/#","The Auto Ontology combines information from more related ontologies in order to create a common language to be used within the AUTO Industry.","Iulian Andriescu",,,"https://iurianu.rocks/developer/ontology-for-automotive-industry/",,,,,"https://raw.githubusercontent.com/iurianu/auto-ontology/master/auto.owl",,"2022-03-31",
"Battery Interface Ontology","https://big-map.github.io/BattINFO/ontology/BattINFO#","Ontology providing terms and relations needed to describe things, processes and data in the battery domain.","Casper Welzel Andersen,Eibar Flores,Francesca Lønstad Bleken,Jesper Friis,Simon Clark",,"CC-BY 4.0","https://www.big-map.eu/dissemination/battinfo",,,,,,"https://raw.githubusercontent.com/BIG-MAP/BattINFO/master/battinfo.ttl","2024-02-29",
"Bicycle Vocabulary","http://purl.org/opdm/bicycle#","Vocabulary to represent the product type Bicycle in the context of the OPDM project.","László Török,Martin Hepp,Bene Rodriguez-Castro",,"CC-BY 3.0","http://www.ebusiness-unibw.org/ontologies/opdm/bicycle.html",,,,,"http://purl.org/opdm/bicycle#","http://purl.org/opdm/bicycle#",,
"Building Automation and Control Network Ontology","http://bacowl.sourceforge.net/2012/bacnet","BACnet is an ASHRAE sponsored protocol for building automation and control networks (IoT).","Joel Bender (source: https://sourceforge.net/p/bacowl/activity/?page=0&limit=100)",,,"https://bacowl.sourceforge.net/intro.html",,,,,,"https://bacowl.sourceforge.net/2012/bacnet.ttl","2014-02-07",
"Building Circularity Assessment Ontology","https://github.com/linmor-sys/BCAO.owl","Building Circularity Assessment Ontology (BCAO) is proposed to structure the scattered heterogenous manufacturer product data needed for the assessment.",,,,"https://github.com/linmor-sys/BCAO",,,,,"https://raw.githubusercontent.com/linmor-sys/BCAO/main/BCAO.owl","https://raw.githubusercontent.com/linmor-sys/BCAO/main/BCAO.ttl","2020-12-23",
"Building Ontology","http://bimerr.iot.linkeddata.es/def/building#","The Building ontology has been developed to perform as the core module of the BIMERR project, containing information related to buidling topology, components, materials and geometry. The geometry information is managed as information objects whitout entering in the details of the BIM model.","Serge Chávez-Feria,María Poveda-Villalón",,"CC-BY 4.0","https://bimerr.iot.linkeddata.es/def/building/",,,,,,"https://bimerr.iot.linkeddata.es/def/building/ontology.ttl",,"0.1.5"
"Capability and Skills Ontology based on Industry Standards","http://www.w3id.org/hsu-aut/cask","A domain ontology to describe capabilities and skills. This ontology extends the concepts defined in the CSS ontology (https://github.com/hsu-aut/css-ontology) by using ontology design patterns for different standards.","Aljosha Köcher",,"MIT","https://github.com/CaSkade-Automation/CaSk",,,,,,"https://raw.githubusercontent.com/CaSkade-Automation/CaSk/main/cask.owl","2023-09-06","2.5.2"
"Capability and Skills Ontology based on Manufacturing","http://www.w3id.org/hsu-aut/caskman#","A domain ontology to model capabilities and skills in manufacturing. It extends CaSk by standards such as DIN 8580 (manufacturing operations),VDI 2860 (handling operations) as well as WADL and OPC UA to model skills with interfaces based on web services as well as OPC UA.","Aljosha Köcher",,"MIT","https://github.com/CaSkade-Automation/CaSkMan",,,,,"https://raw.githubusercontent.com/CaSkade-Automation/CaSkMan/master/caskman.owl",,"2023-09-05","4.5.1"
"Car HiFi Vocabulary","http://purl.org/opdm/carhifi#","Vocabulary to describe car hifis.","Martin Hepp,Bene Rodriguez-Castro,László Török",,"CC-BY 3.0","http://www.ebusiness-unibw.org/ontologies/opdm/carhifi.html",,,,,"http://purl.org/opdm/carhifi#","http://purl.org/opdm/carhifi#",,
"Chair Vocabulary","http://purl.org/opdm/chair#","Web vocabulary to represent the product type Chair in the context of the OPDM project.","Martin Hepp,Bene Rodriguez-Castro,László Török",,"CC-BY 3.0","http://www.ebusiness-unibw.org/ontologies/opdm/chair.html",,,,,"http://purl.org/opdm/chair#",,,
"Citation Typing Ontology","http://purl.org/spar/cito/","Ontology written in OWL 2 DL to enable characterization of the nature or type of citations, both factually and rhetorically, and to permit these descriptions to be published on the Web.","David Shotton,Silvio Peroni",,"CC-BY 4.0","http://www.sparontologies.net/ontologies/cito",,,,,"https://sparontologies.github.io/cito/current/cito.owl","https://sparontologies.github.io/cito/current/cito.ttl","2018-02-16","2.8.1"
"Coffee Machine Vocabulary","http://purl.org/opdm/coffeemachine#","Vocabulary to describe coffee machines.","Martin Hepp,Bene Rodriguez-Castro,László Török",,"CC-BY 3.0","http://www.ebusiness-unibw.org/ontologies/opdm/coffeemachine.html",,,,,"http://purl.org/opdm/coffeemachine#",,,
"Components for ExtruOnt","http://bdi.si.ehu.es/bdi/ontologies/ExtruOnt/components4ExtruOnt","An RDF/OWL schema for representing the components of an extruder.","BDI – Interoperable Databases Group University of the Basque Country UPV/EHU",,,"https://www.semantic-web-journal.net/system/files/swj2217.pdf",,,,,"http://bdi.si.ehu.es/bdi/ontologies/ExtruOnt/components4ExtruOnt#",,"2019-04-01",
"Computer Vocabulary","http://purl.org/opdm/computer#","Vocabulary to describe personal computers, laptops and netbooks.","Martin Hepp,Bene Rodriguez-Castro,László Török",,"CC-BY 3.0","http://www.ebusiness-unibw.org/ontologies/opdm/computer.html",,,,,"http://purl.org/opdm/computer#",,,
